Distance_km,Value
1,0.24376631252476194
2,0.26108453551732386
3,0.24903481646478848
4,0.22625149263640654
5,0.2180713163011605
6,0.20918434906709493
7,0.19659067311389367
8,0.1825707681434706
9,0.17001137452637274
10,0.15886183072173088
11,0.14003660227387615
12,0.1250679961646049
13,0.11218455504776437
14,0.10075250288259086
15,0.08568659972757109
16,0.07032314754553304
17,0.05877689625085296
18,0.047890150228792325
19,0.04165934172652218
20,0.038297655771378114
21,0.03784957585205175
22,0.03522534230917406
23,0.024642447684759948
24,0.015317821238009888
25,-0.0016514443516073736
26,-0.012027712727409193
27,-0.02548637684919581
28,-0.03543444115589762
29,-0.04629023662291609
30,-0.054929591726128206
31,-0.06788300735172678
32,-0.07138502840132395
33,-0.07526698007315606
34,-0.08021991846431466
35,-0.08054581617829085
36,-0.08330725399347975
37,-0.08346754287352684
38,-0.07671239487211272
39,-0.0707884907084736
40,-0.06410645134542822
41,-0.05483452581944069
42,-0.04863307678294268
43,-0.042907510975740415
44,-0.03671512269617169
45,-0.03105035771152074
46,-0.026867689339613837
47,-0.018683896705481776
48,-0.014981606653386952
49,-0.005454843527472674
50,-0.004475664717093759
51,0.004273615649259948
52,0.015659903445267333
53,0.029146399115809234
54,0.024463564196503283
55,0.020482770881747266
56,0.015254661833218329
57,-0.0013427699875206093
58,-0.0312317202243465
59,-0.040548305213686325
60,-0.07004440103105963
61,-0.06669133623042746
62,-0.06026144945480655
63,-0.05990259696652175
64,-0.04777516736772293
